Model,Stock,Variant,RMSE,MAE,Directional_Accuracy,Epochs_Trained
GRU,AMD,forward_fill,4.644,3.7837,50.0,17
LSTM,AMD,forward_fill,4.8479,4.1359,60.53,21
GRU,AMD,no_sentiment,4.3609,3.5481,52.63,14
LSTM,AMD,no_sentiment,5.259,4.5059,55.26,19
GRU,ASML,forward_fill,23.2691,19.3158,50.0,14
LSTM,ASML,forward_fill,16.2278,11.9557,44.74,11
GRU,ASML,no_sentiment,12.7885,10.0329,57.89,14
LSTM,ASML,no_sentiment,14.0024,9.7856,52.63,35
GRU,AVGO,forward_fill,19.5357,12.8,57.89,17
LSTM,AVGO,forward_fill,33.3406,24.7023,52.63,15
GRU,AVGO,no_sentiment,16.4616,9.8634,57.89,12
LSTM,AVGO,no_sentiment,31.1486,21.9297,60.53,12
GRU,INTC,forward_fill,1.1916,0.7918,68.42,26
LSTM,INTC,forward_fill,1.579,1.305,44.74,14
GRU,INTC,no_sentiment,0.9058,0.6639,63.16,78
LSTM,INTC,no_sentiment,1.3191,0.9332,47.37,23
GRU,MRVL,forward_fill,12.5614,11.0239,47.37,30
LSTM,MRVL,forward_fill,18.2071,16.564,47.37,16
GRU,MRVL,no_sentiment,7.1348,4.8274,55.26,25
LSTM,MRVL,no_sentiment,11.99,9.9904,47.37,27
GRU,MU,forward_fill,5.1163,3.6903,44.74,58
LSTM,MU,forward_fill,6.0821,5.1626,55.26,15
GRU,MU,no_sentiment,4.9672,3.7182,50.0,52
LSTM,MU,no_sentiment,6.1248,5.1781,50.0,17
GRU,NVDA,forward_fill,6.2069,4.5834,60.53,13
LSTM,NVDA,forward_fill,5.4381,4.7289,63.16,18
GRU,NVDA,no_sentiment,5.1684,4.1667,60.53,13
LSTM,NVDA,no_sentiment,7.0167,5.8441,55.26,12
GRU,QCOM,forward_fill,4.128,3.2544,68.42,14
LSTM,QCOM,forward_fill,4.1601,3.5111,68.42,13
GRU,QCOM,no_sentiment,4.0101,3.2599,63.16,13
LSTM,QCOM,no_sentiment,4.232,3.5139,65.79,25
GRU,TSM,forward_fill,9.7456,8.0737,57.89,24
LSTM,TSM,forward_fill,11.5157,9.8706,57.89,15
GRU,TSM,no_sentiment,5.83,4.7288,55.26,31
LSTM,TSM,no_sentiment,7.3139,6.3238,60.53,13
GRU,TXN,forward_fill,4.2578,3.1297,63.16,78
LSTM,TXN,forward_fill,5.682,4.4245,55.26,33
GRU,TXN,no_sentiment,5.0465,3.7707,65.79,20
LSTM,TXN,no_sentiment,6.1904,4.8559,55.26,24
